locale;category_id;name;name_slug;singular_name;singular_name_slug
de_DE;da726d35-899a-4d64-84be-e4d1f3031870;Kamera Zubehör;kamera-zubehoer;;
es_ES;54be17f3-184c-4273-a847-f41a967a011c;Impresoras y Consumibles;impresoras-y-consumibles;;
es_ES;f1ed6ef0-ed00-4373-8068-497b98daffcb;Electrodomésticos;electrodomesticos;;
es_ES;baa62cab-a8f9-41d1-a5f1-e636ed0fa12c;Smartphones y Wearables;smartphones-y-wearables;;
es_ES;9c330823-57be-41e8-a165-2ec2a157906a;Material de Oficina;material-de-oficina;;
fr_FR;1dd469a6-738b-46a7-8bbd-f70bf81ef52f;Routeurs;routeurs;;
es_ES;a81594bc-88e2-422d-8c0f-0aafeec5def5;Merchandising;merchandising;;
es_ES;c0563f03-af63-404c-8fbc-d3cc421691da;Jardín y Bricolaje;jardin-y-bricolaje;;
es_ES;fba5ec65-74d2-4c3e-815f-4ffedef518a2;Docks, Hubs y Adaptadores;docks-hubs-y-adaptadores;;
es_ES;047e796a-ab0a-47c3-aada-89bec0a8bd1e;Cables;cables;;
es_ES;aff994ba-ffef-4143-b628-630bb99bec37;Placas Base;placas-base;Placa Base;placa-base
pt_PT;8089c626-b646-4370-a36c-d0d6da5abf34;Placas e Painéis Solares;placas-e-paineis-solares;;
es_ES;eec0eb1e-86f6-4273-96be-77bd3ad6d83a;Gadgets;gadgets;;
es_ES;463b63ca-a655-44e0-81f5-0bf1cfd590fb;Bobinas Soldadura;bobinas-soldadura;;
es_ES;e9bf3a20-dc80-4a07-8d29-13885fe55655;Procesadores;procesadores;Procesador;procesador
es_ES;25e8ff24-e782-4f92-b847-9417e45f9ab4;Más para el hogar;mas-para-el-hogar;;
es_ES;abb0b6ed-ee2d-4855-9b53-0cda71fd744f;Gafas Realidad Virtual;gafas-realidad-virtual;;
es_ES;823366f1-92d6-4f4e-9bb4-a41b8ddadfa6;Proyectores;proyectores;;
